Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,class
Male,Yes,Not Graduate,No,3074,1800,123,360,0,Semiurban,N
Male,No,Graduate,No,4683,1915,185,360,1,Semiurban,N
Female,No,Not Graduate,No,3400,0,95,360,1,Rural,N
Male,Yes,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
Male,No,Graduate,No,2500,0,55,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,5677,1424,100,360,1,Rural,Y
Male,Yes,Graduate,Yes,7948,7166,480,360,1,Rural,Y
Male,Yes,Graduate,Yes,17500,0,400,360,1,Rural,Y
Male,Yes,Graduate,No,3775,0,110,360,1,Semiurban,Y
Male,Yes,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
Male,No,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y
Male,No,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
Male,Yes,Graduate,No,1025,5500,216,360,,Rural,Y
Male,Yes,Graduate,No,4281,0,100,360,1,Urban,Y
Male,No,Graduate,No,3588,0,110,360,0,Rural,N
Female,No,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
Male,No,Not Graduate,,2550,2042,126,360,1,Rural,Y
Male,Yes,Graduate,No,6133,3906,324,360,1,Urban,Y
Male,No,Graduate,No,3617,0,107,360,1,Semiurban,Y
Male,Yes,Not Graduate,No,2917,536,66,360,1,Rural,N
Male,Yes,Graduate,No,6417,0,157,180,1,Rural,Y
Female,Yes,Graduate,No,4608,2845,140,180,1,Semiurban,Y
Female,No,Graduate,No,2138,0,99,360,0,Semiurban,N
Male,Yes,Not Graduate,No,2239,2524,128,360,1,Urban,Y
Male,Yes,Graduate,No,2768,1950,155,360,1,Rural,Y
Male,No,Not Graduate,No,3358,0,80,36,1,Semiurban,N
Male,No,Graduate,No,2526,1783,145,360,1,Rural,Y
Female,No,Graduate,No,5000,0,103,360,0,Semiurban,N
Male,Yes,Graduate,No,2785,2016,110,360,1,Rural,Y
Male,Yes,Graduate,No,3333,3250,158,360,1,Urban,Y
Male,Yes,Not Graduate,No,2454,2333,181,360,0,Urban,N
Male,Yes,Graduate,No,3593,4266,132,180,0,Rural,N
Male,Yes,Graduate,No,5468,1032,26,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,10139,0,260,360,1,Semiurban,Y
Male,Yes,Graduate,No,3887,2669,162,360,1,Semiurban,Y
Female,Yes,Graduate,No,4180,2306,182,360,1,Semiurban,Y
Male,Yes,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
Female,Yes,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
Male,Yes,Graduate,No,5923,2054,211,360,1,Rural,Y
Male,No,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Y
Male,Yes,Graduate,No,8799,0,258,360,0,Urban,N
Male,No,Graduate,No,3333,0,70,360,1,Urban,Y
Male,Yes,Graduate,No,3400,2500,123,360,0,Rural,N
Female,No,Graduate,No,2378,0,9,360,1,Urban,N
Male,Yes,Graduate,No,3166,2064,104,360,0,Urban,N
Male,Yes,Graduate,No,3417,1750,186,360,1,Urban,Y
Male,Yes,Graduate,No,5116,1451,165,360,0,Urban,N
Male,Yes,Graduate,No,16666,0,275,360,1,Urban,Y
Male,Yes,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
Male,Yes,Graduate,No,6406,0,150,360,1,Semiurban,N
Male,Yes,Graduate,No,3159,461,108,84,1,Urban,Y
Male,No,Graduate,No,3229,2739,110,360,1,Urban,Y
Male,Yes,Graduate,No,1782,2232,107,360,1,Rural,Y
Male,No,Graduate,,3182,2917,161,360,1,Urban,Y
Male,Yes,Graduate,No,6540,0,205,360,1,Semiurban,Y
Male,No,Graduate,No,1836,33837,90,360,1,Urban,N
Female,Yes,Graduate,No,3166,0,36,360,1,Semiurban,Y
Male,Yes,Graduate,No,2787,1917,146,360,0,Rural,N
Male,Yes,Graduate,No,4283,3000,172,84,1,Rural,N
Male,Yes,Graduate,No,2297,1522,104,360,1,Urban,Y
Female,No,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,2726,0,106,360,0,Semiurban,N
Male,Yes,Graduate,No,3000,3416,56,180,1,Semiurban,Y
Male,Yes,Graduate,Yes,6000,0,205,240,1,Semiurban,N
Male,Yes,Graduate,No,3859,3300,142,180,1,Rural,Y
Male,Yes,Graduate,Yes,16120,0,260,360,1,Urban,Y
Male,No,Not Graduate,No,3833,0,110,360,1,Rural,Y
Male,Yes,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
Male,No,Graduate,No,2987,0,88,360,0,Semiurban,N
Male,Yes,Graduate,Yes,9963,0,180,360,1,Rural,Y
Male,Yes,Graduate,No,5780,0,192,360,1,Urban,Y
Male,Yes,Not Graduate,,2894,2792,155,360,1,Rural,Y
Male,Yes,Graduate,No,5703,0,128,360,1,Urban,Y
Male,No,Graduate,No,3676,4301,172,360,1,Rural,Y
Female,Yes,Graduate,No,12000,0,496,360,1,Semiurban,Y
Male,Yes,Graduate,No,3400,2500,173,360,1,Semiurban,Y
Male,Yes,Not Graduate,No,3987,1411,157,360,1,Rural,Y
Male,Yes,Graduate,No,3232,1950,108,360,1,Rural,Y
Female,No,Graduate,No,2900,0,71,360,1,Rural,Y
Male,Yes,Graduate,No,4106,0,40,180,1,Rural,Y
Male,Yes,Graduate,No,8072,240,253,360,1,Urban,Y
Male,Yes,Graduate,No,7583,0,187,360,1,Urban,Y
Female,No,Graduate,Yes,4583,0,133,360,0,Semiurban,N
